"sk_loan_fact","sk_customer","sk_product","sk_branch","sk_employee","sk_collateral_type","sk_date_application","sk_date_approval","sk_date_disbursement","application_id","approval_id","disbursement_id","assessment_id","pledge_id","app_status","requested_amount","approved_amount","disbursed_amount","tenor_months","final_rate","dti_ratio","pd_score","credit_score","appraised_value"
24,72,68,4,64,12,67,69,69,24,24,24,24,24,Disbursed,40000000.00,190000000.00,340000000.00,60,9.71,48.00,0.1455,771,150000000.00
25,75,75,5,75,25,88,93,92,25,25,25,25,25,Submitted,450000000.00,240000000.00,220000000.00,120,14.24,63.13,0.1003,418,620000000.00
26,78,82,6,86,38,104,107,106,26,26,26,26,26,Under Review,400000000.00,250000000.00,230000000.00,120,10.68,61.28,0.1931,494,320000000.00
27,81,89,7,97,51,130,135,133,27,27,27,27,27,Approved,440000000.00,130000000.00,210000000.00,12,12.89,49.86,0.1985,819,550000000.00
28,84,96,8,8,64,147,151,149,28,28,28,28,28,Rejected,370000000.00,70000000.00,230000000.00,12,8.91,37.11,0.0827,515,280000000.00
29,87,3,9,19,77,149,155,151,29,29,29,29,29,Disbursed,500000000.00,310000000.00,380000000.00,24,10.47,27.24,0.1715,530,160000000.00
30,90,10,10,30,90,172,174,174,30,30,30,30,30,Submitted,470000000.00,310000000.00,170000000.00,60,6.10,36.26,0.0698,549,730000000.00
31,93,17,11,41,3,181,183,182,31,31,31,31,31,Under Review,310000000.00,300000000.00,320000000.00,24,16.27,50.96,0.1816,624,770000000.00
32,96,24,12,52,16,196,199,198,32,32,32,32,32,Approved,180000000.00,360000000.00,110000000.00,24,6.47,18.87,0.1071,833,470000000.00
33,99,31,13,63,29,213,216,215,33,33,33,33,33,Rejected,260000000.00,380000000.00,20000000.00,24,10.06,35.79,0.0803,365,90000000.00
34,2,38,14,74,42,229,231,230,34,34,34,34,34,Disbursed,210000000.00,120000000.00,100000000.00,60,15.59,16.45,0.1243,525,580000000.00
35,5,45,15,85,55,239,246,242,35,35,35,35,35,Submitted,30000000.00,310000000.00,260000000.00,60,9.42,38.08,0.0271,327,340000000.00
36,8,52,16,96,68,59,61,61,36,36,36,36,36,Under Review,500000000.00,170000000.00,30000000.00,60,7.89,47.51,0.2756,781,100000000.00
37,11,59,17,7,81,76,80,79,37,37,37,37,37,Approved,170000000.00,210000000.00,30000000.00,24,6.80,45.29,0.3377,523,270000000.00
38,14,66,18,18,94,96,99,98,38,38,38,38,38,Rejected,380000000.00,380000000.00,240000000.00,60,14.89,53.62,0.2991,377,220000000.00
39,17,73,19,29,7,114,121,118,39,39,39,39,39,Disbursed,290000000.00,110000000.00,350000000.00,36,10.73,36.68,0.1331,649,650000000.00
40,20,80,20,40,20,139,143,141,40,40,40,40,40,Submitted,410000000.00,170000000.00,380000000.00,120,14.51,27.27,0.3278,746,640000000.00
41,23,87,1,51,33,157,164,160,41,41,41,41,41,Under Review,230000000.00,20000000.00,140000000.00,12,11.70,28.98,0.2127,486,780000000.00
42,26,94,2,62,46,176,177,177,42,42,42,42,42,Approved,170000000.00,210000000.00,250000000.00,60,13.47,15.86,0.1100,546,380000000.00
43,29,1,3,73,59,186,189,188,43,43,43,43,43,Rejected,370000000.00,360000000.00,130000000.00,120,16.91,27.57,0.0510,638,220000000.00
44,32,8,4,84,72,202,205,204,44,44,44,44,44,Disbursed,150000000.00,100000000.00,50000000.00,60,8.79,26.37,0.0710,837,750000000.00
45,35,15,5,95,85,219,222,221,45,45,45,45,45,Submitted,460000000.00,90000000.00,270000000.00,24,15.37,37.02,0.0727,405,680000000.00
46,38,22,6,6,98,232,234,233,46,46,46,46,46,Under Review,60000000.00,350000000.00,300000000.00,120,10.06,20.92,0.2699,455,350000000.00
47,41,29,7,17,11,248,255,251,47,47,47,47,47,Approved,390000000.00,370000000.00,20000000.00,60,6.40,25.55,0.2345,361,290000000.00
48,44,36,8,28,24,65,67,67,48,48,48,48,48,Rejected,300000000.00,290000000.00,160000000.00,120,6.88,37.70,0.2437,333,320000000.00
49,47,43,9,39,37,85,89,88,49,49,49,49,49,Disbursed,190000000.00,340000000.00,300000000.00,24,11.98,38.43,0.1134,469,410000000.00
50,50,50,10,50,50,102,105,104,50,50,50,50,50,Submitted,400000000.00,380000000.00,130000000.00,12,5.98,58.03,0.2096,556,410000000.00
51,53,57,11,61,63,126,132,130,51,51,51,51,51,Under Review,350000000.00,230000000.00,330000000.00,60,10.44,32.40,0.1233,746,270000000.00
52,56,64,12,72,76,145,149,147,52,52,52,52,52,Approved,440000000.00,360000000.00,50000000.00,60,11.04,63.51,0.1474,765,70000000.00
53,59,71,13,83,89,166,173,170,53,53,53,53,53,Rejected,350000000.00,90000000.00,400000000.00,36,5.85,21.55,0.1079,752,690000000.00
54,62,78,14,94,2,179,180,180,54,54,54,54,54,Disbursed,470000000.00,330000000.00,200000000.00,24,16.69,60.65,0.1669,314,260000000.00
55,65,85,15,5,15,192,195,194,55,55,55,55,55,Submitted,470000000.00,190000000.00,280000000.00,36,14.77,61.09,0.1828,783,150000000.00
56,68,92,16,16,28,208,212,211,56,56,56,56,56,Under Review,340000000.00,260000000.00,220000000.00,36,10.96,41.93,0.1273,605,760000000.00
57,71,99,17,27,41,210,214,213,57,57,57,57,57,Approved,460000000.00,110000000.00,40000000.00,24,11.44,52.24,0.2498,539,560000000.00
58,74,6,18,38,54,228,230,229,58,58,58,58,58,Rejected,340000000.00,320000000.00,180000000.00,120,14.88,22.21,0.3061,750,160000000.00
59,77,13,19,49,67,236,243,239,59,59,59,59,59,Disbursed,410000000.00,60000000.00,200000000.00,60,8.32,50.94,0.2682,636,110000000.00
60,80,20,20,60,80,57,59,59,60,60,60,60,60,Submitted,490000000.00,110000000.00,280000000.00,12,8.43,31.22,0.0291,402,620000000.00
61,83,27,1,71,93,73,77,76,61,61,61,61,61,Under Review,120000000.00,20000000.00,310000000.00,24,16.29,22.16,0.1668,691,390000000.00
62,86,34,2,82,6,94,97,96,62,62,62,62,62,Approved,450000000.00,320000000.00,260000000.00,120,6.78,49.52,0.1653,752,560000000.00
63,89,41,3,93,19,110,117,114,63,63,63,63,63,Rejected,380000000.00,400000000.00,200000000.00,36,14.44,43.30,0.2432,322,130000000.00
64,92,48,4,4,32,137,141,139,64,64,64,64,64,Disbursed,400000000.00,40000000.00,100000000.00,36,12.45,60.17,0.2298,556,630000000.00
65,95,55,5,15,45,154,161,157,65,65,65,65,65,Submitted,200000000.00,200000000.00,230000000.00,36,14.46,60.67,0.2924,505,680000000.00
66,98,62,6,26,58,175,176,176,66,66,66,66,66,Under Review,310000000.00,180000000.00,250000000.00,12,12.51,34.73,0.0999,706,540000000.00
67,1,69,7,37,71,184,187,186,67,67,67,67,67,Approved,450000000.00,90000000.00,40000000.00,24,7.18,46.77,0.1679,635,590000000.00
68,4,76,8,48,84,200,203,202,68,68,68,68,68,Rejected,330000000.00,280000000.00,330000000.00,12,13.36,62.47,0.2468,850,260000000.00
69,7,83,9,59,97,217,220,219,69,69,69,69,69,Disbursed,190000000.00,50000000.00,140000000.00,12,10.28,64.05,0.1349,522,520000000.00
70,10,90,10,70,10,231,233,232,70,70,70,70,70,Submitted,310000000.00,150000000.00,160000000.00,12,12.54,54.35,0.0798,321,770000000.00
71,13,97,11,81,23,245,252,248,71,71,71,71,71,Under Review,110000000.00,390000000.00,130000000.00,120,9.39,48.05,0.0188,448,370000000.00
72,16,4,12,92,36,63,65,65,72,72,72,72,72,Approved,50000000.00,40000000.00,350000000.00,24,14.23,33.10,0.2118,416,350000000.00
73,19,11,13,3,49,82,86,85,73,73,73,73,73,Rejected,310000000.00,60000000.00,390000000.00,12,7.01,60.49,0.0350,711,250000000.00
74,22,18,14,14,62,100,103,102,74,74,74,74,74,Disbursed,470000000.00,150000000.00,160000000.00,36,10.66,50.09,0.2999,843,770000000.00
75,25,25,15,25,75,122,129,126,75,75,75,75,75,Submitted,230000000.00,70000000.00,70000000.00,60,15.48,33.72,0.0619,397,150000000.00
76,28,32,16,36,88,143,147,145,76,76,76,76,76,Under Review,80000000.00,50000000.00,400000000.00,36,17.12,35.54,0.3070,361,610000000.00
77,31,39,17,47,1,163,171,166,77,77,77,77,77,Approved,240000000.00,380000000.00,290000000.00,12,8.21,20.41,0.2974,517,420000000.00
78,34,46,18,58,14,178,179,179,78,78,78,78,78,Rejected,400000000.00,60000000.00,30000000.00,36,7.20,15.31,0.3058,579,580000000.00
79,37,53,19,69,27,190,193,192,79,79,79,79,79,Disbursed,490000000.00,50000000.00,50000000.00,120,7.37,51.08,0.2741,729,170000000.00
80,40,60,20,80,40,206,209,208,80,80,80,80,80,Submitted,190000000.00,390000000.00,210000000.00,60,11.34,52.75,0.0487,797,430000000.00
81,43,67,1,91,53,223,227,226,81,81,81,81,81,Under Review,160000000.00,130000000.00,360000000.00,60,7.05,27.78,0.1216,307,620000000.00
82,46,74,2,2,66,234,237,235,82,82,82,82,82,Approved,340000000.00,380000000.00,280000000.00,120,10.35,37.99,0.0365,373,610000000.00
83,49,81,3,13,79,254,258,256,83,83,83,83,83,Rejected,90000000.00,350000000.00,210000000.00,60,6.44,19.41,0.2971,475,580000000.00
84,52,88,4,24,92,69,71,71,84,84,84,84,84,Disbursed,160000000.00,80000000.00,140000000.00,36,7.26,51.37,0.2884,822,370000000.00
85,55,95,5,35,5,71,74,73,85,85,85,85,85,Submitted,400000000.00,220000000.00,220000000.00,24,15.87,43.19,0.2070,481,790000000.00
86,58,2,6,46,18,93,95,94,86,86,86,86,86,Under Review,300000000.00,200000000.00,70000000.00,12,6.42,18.71,0.1670,610,540000000.00
87,61,9,7,57,31,108,113,110,87,87,87,87,87,Approved,260000000.00,230000000.00,70000000.00,60,17.29,38.78,0.0613,342,200000000.00
88,64,16,8,68,44,135,139,137,88,88,88,88,88,Rejected,430000000.00,230000000.00,80000000.00,24,6.29,60.90,0.1417,748,130000000.00
89,67,23,9,79,57,151,158,154,89,89,89,89,89,Disbursed,200000000.00,210000000.00,230000000.00,36,12.21,63.38,0.2475,453,170000000.00
90,70,30,10,90,70,174,175,175,90,90,90,90,90,Submitted,440000000.00,160000000.00,110000000.00,120,17.50,62.56,0.1262,820,310000000.00
91,73,37,11,1,83,182,185,184,91,91,91,91,91,Under Review,200000000.00,300000000.00,250000000.00,12,6.02,44.86,0.0624,839,280000000.00
92,76,44,12,12,96,198,201,200,92,92,92,92,92,Approved,300000000.00,310000000.00,260000000.00,120,14.73,24.70,0.2406,539,630000000.00
93,79,51,13,23,9,215,218,217,93,93,93,93,93,Rejected,350000000.00,90000000.00,120000000.00,60,8.92,58.71,0.1985,441,730000000.00
94,82,58,14,34,22,230,232,231,94,94,94,94,94,Disbursed,300000000.00,170000000.00,70000000.00,120,10.13,61.52,0.1511,393,540000000.00
95,85,65,15,45,35,242,249,245,95,95,95,95,95,Submitted,160000000.00,300000000.00,70000000.00,12,12.88,60.87,0.1706,643,670000000.00
96,88,72,16,56,48,61,63,63,96,96,96,96,96,Under Review,180000000.00,60000000.00,330000000.00,24,6.83,21.09,0.0911,840,650000000.00
97,91,79,17,67,61,79,83,82,97,97,97,97,97,Approved,30000000.00,350000000.00,60000000.00,120,17.20,27.03,0.1516,447,170000000.00
98,94,86,18,78,74,98,101,100,98,98,98,98,98,Rejected,360000000.00,60000000.00,80000000.00,120,9.64,34.34,0.1369,320,520000000.00
99,97,93,19,89,87,118,125,122,99,99,99,99,99,Disbursed,100000000.00,60000000.00,310000000.00,12,14.09,64.04,0.1727,646,240000000.00
100,100,100,20,100,100,141,145,143,100,100,100,100,100,Submitted,200000000.00,200000000.00,50000000.00,24,9.78,64.46,0.1946,342,310000000.00
101,3,7,1,11,13,160,167,163,101,101,101,101,101,Under Review,190000000.00,190000000.00,290000000.00,12,15.11,39.81,0.1792,709,730000000.00
102,6,14,2,22,26,177,178,178,102,102,102,102,102,Approved,290000000.00,300000000.00,40000000.00,120,9.72,29.78,0.1616,600,280000000.00
103,9,21,3,33,39,188,191,190,103,103,103,103,103,Rejected,410000000.00,400000000.00,300000000.00,60,13.64,55.05,0.2410,376,250000000.00
104,12,28,4,44,52,204,207,206,104,104,104,104,104,Disbursed,100000000.00,380000000.00,250000000.00,12,7.15,48.95,0.3326,670,160000000.00
105,15,35,5,55,65,221,225,223,105,105,105,105,105,Submitted,220000000.00,150000000.00,200000000.00,36,17.46,60.68,0.0500,326,640000000.00
106,18,42,6,66,78,233,235,234,106,106,106,106,106,Under Review,140000000.00,60000000.00,200000000.00,12,12.10,49.10,0.2975,762,510000000.00
107,21,49,7,77,91,251,257,254,107,107,107,107,107,Approved,120000000.00,310000000.00,370000000.00,24,15.14,54.52,0.0189,529,540000000.00
108,24,56,8,88,4,67,69,69,108,108,108,108,108,Rejected,410000000.00,60000000.00,350000000.00,12,10.90,53.46,0.2899,707,470000000.00
109,27,63,9,99,17,88,93,92,109,109,109,109,109,Disbursed,100000000.00,210000000.00,220000000.00,120,7.48,60.54,0.0288,486,260000000.00
110,30,70,10,10,30,104,107,106,110,110,110,110,110,Submitted,240000000.00,390000000.00,110000000.00,120,16.80,30.14,0.1914,556,280000000.00
111,33,77,11,21,43,130,135,133,111,111,111,111,111,Under Review,440000000.00,380000000.00,30000000.00,120,10.50,17.27,0.2281,645,330000000.00
112,36,84,12,32,56,147,151,149,112,112,112,112,112,Approved,420000000.00,310000000.00,400000000.00,120,7.95,18.65,0.0304,794,680000000.00
113,39,91,13,43,69,149,155,151,113,113,113,113,113,Rejected,220000000.00,170000000.00,50000000.00,36,7.19,20.31,0.0922,708,640000000.00
114,42,98,14,54,82,172,174,174,114,114,114,114,114,Disbursed,260000000.00,330000000.00,270000000.00,120,5.78,22.97,0.3486,463,460000000.00
115,45,5,15,65,95,181,183,182,115,115,115,115,115,Submitted,310000000.00,20000000.00,290000000.00,24,15.67,59.12,0.2324,661,750000000.00
116,48,12,16,76,8,196,199,198,116,116,116,116,116,Under Review,180000000.00,190000000.00,90000000.00,36,15.40,29.43,0.1414,346,770000000.00
117,51,19,17,87,21,213,216,215,117,117,117,117,117,Approved,80000000.00,320000000.00,110000000.00,60,11.73,35.07,0.0237,674,490000000.00
118,54,26,18,98,34,229,231,230,118,118,118,118,118,Rejected,100000000.00,210000000.00,30000000.00,36,11.20,40.37,0.1833,466,790000000.00
119,57,33,19,9,47,239,246,242,119,119,119,119,119,Disbursed,230000000.00,160000000.00,390000000.00,12,14.16,28.28,0.2329,615,800000000.00
120,60,40,20,20,60,59,61,61,120,120,120,120,120,Submitted,120000000.00,280000000.00,150000000.00,120,7.32,62.41,0.0474,689,470000000.00
121,63,47,1,31,73,76,80,79,121,121,121,121,121,Under Review,340000000.00,230000000.00,180000000.00,120,12.06,41.27,0.1167,441,750000000.00
122,66,54,2,42,86,96,99,98,122,122,122,122,122,Approved,140000000.00,370000000.00,190000000.00,24,16.70,25.36,0.2497,605,510000000.00
123,69,61,3,53,99,114,121,118,123,123,123,123,123,Rejected,90000000.00,240000000.00,180000000.00,120,16.59,55.23,0.1088,688,170000000.00
124,72,68,4,64,12,139,143,141,124,124,124,124,124,Disbursed,150000000.00,80000000.00,320000000.00,24,10.46,48.49,0.1906,578,130000000.00
125,75,75,5,75,25,157,164,160,125,125,125,125,125,Submitted,450000000.00,70000000.00,160000000.00,24,13.33,24.97,0.3377,461,140000000.00
126,78,82,6,86,38,176,177,177,126,126,126,126,126,Under Review,490000000.00,40000000.00,380000000.00,12,5.61,39.77,0.3284,480,440000000.00
127,81,89,7,97,51,186,189,188,127,127,127,127,127,Approved,230000000.00,180000000.00,20000000.00,36,14.12,28.64,0.2850,836,650000000.00
128,84,96,8,8,64,202,205,204,128,128,128,128,128,Rejected,200000000.00,320000000.00,170000000.00,120,9.38,31.40,0.1463,479,240000000.00
129,87,3,9,19,77,219,222,221,129,129,129,129,129,Disbursed,180000000.00,50000000.00,310000000.00,60,13.51,43.64,0.0989,573,370000000.00
130,90,10,10,30,90,232,234,233,130,130,130,130,130,Submitted,120000000.00,400000000.00,370000000.00,60,9.98,26.04,0.3355,618,650000000.00
131,93,17,11,41,3,248,255,251,131,131,131,131,131,Under Review,500000000.00,50000000.00,340000000.00,120,15.45,41.41,0.1330,553,210000000.00
132,96,24,12,52,16,65,67,67,132,132,132,132,132,Approved,380000000.00,300000000.00,310000000.00,120,15.20,25.27,0.2083,635,720000000.00
133,99,31,13,63,29,85,89,88,133,133,133,133,133,Rejected,340000000.00,40000000.00,60000000.00,60,10.58,34.80,0.2876,359,160000000.00
134,2,38,14,74,42,102,105,104,134,134,134,134,134,Disbursed,50000000.00,300000000.00,260000000.00,12,15.94,47.29,0.1529,593,550000000.00
135,5,45,15,85,55,126,132,130,135,135,135,135,135,Submitted,70000000.00,210000000.00,360000000.00,120,11.06,51.39,0.0857,421,90000000.00
136,8,52,16,96,68,145,149,147,136,136,136,136,136,Under Review,360000000.00,170000000.00,80000000.00,60,7.97,53.27,0.0210,771,90000000.00
137,11,59,17,7,81,166,173,170,137,137,137,137,137,Approved,300000000.00,340000000.00,160000000.00,120,17.42,41.99,0.2665,550,240000000.00
138,14,66,18,18,94,179,180,180,138,138,138,138,138,Rejected,380000000.00,290000000.00,50000000.00,120,12.17,26.05,0.1122,542,290000000.00
139,17,73,19,29,7,192,195,194,139,139,139,139,139,Disbursed,430000000.00,110000000.00,50000000.00,60,15.17,52.72,0.1710,726,450000000.00
140,20,80,20,40,20,208,212,211,140,140,140,140,140,Submitted,280000000.00,140000000.00,260000000.00,120,6.12,18.95,0.1629,697,750000000.00
141,23,87,1,51,33,210,214,213,141,141,141,141,141,Under Review,60000000.00,170000000.00,150000000.00,24,13.85,25.59,0.0746,522,680000000.00
142,26,94,2,62,46,228,230,229,142,142,142,142,142,Approved,170000000.00,220000000.00,250000000.00,120,16.47,32.98,0.3102,689,670000000.00
143,29,1,3,73,59,236,243,239,143,143,143,143,143,Rejected,280000000.00,330000000.00,230000000.00,12,12.11,24.81,0.0882,449,380000000.00
144,32,8,4,84,72,57,59,59,144,144,144,144,144,Disbursed,500000000.00,50000000.00,60000000.00,60,11.79,51.02,0.1760,771,760000000.00
145,35,15,5,95,85,73,77,76,145,145,145,145,145,Submitted,500000000.00,330000000.00,360000000.00,12,5.69,40.29,0.1369,536,680000000.00
146,38,22,6,6,98,94,97,96,146,146,146,146,146,Under Review,20000000.00,80000000.00,350000000.00,12,16.52,49.89,0.1564,848,290000000.00
147,41,29,7,17,11,110,117,114,147,147,147,147,147,Approved,170000000.00,210000000.00,70000000.00,24,13.71,33.65,0.1480,558,350000000.00
148,44,36,8,28,24,137,141,139,148,148,148,148,148,Rejected,70000000.00,380000000.00,80000000.00,60,17.23,19.13,0.2974,787,490000000.00
149,47,43,9,39,37,154,161,157,149,149,149,149,149,Disbursed,40000000.00,30000000.00,390000000.00,24,17.04,59.97,0.2016,786,470000000.00
150,50,50,10,50,50,175,176,176,150,150,150,150,150,Submitted,500000000.00,340000000.00,240000000.00,60,14.45,31.59,0.2669,466,170000000.00
151,53,57,11,61,63,184,187,186,151,151,151,151,151,Under Review,80000000.00,240000000.00,260000000.00,60,12.14,46.71,0.2764,648,360000000.00
152,56,64,12,72,76,200,203,202,152,152,152,152,152,Approved,130000000.00,260000000.00,80000000.00,120,9.30,18.68,0.1011,387,260000000.00
153,59,71,13,83,89,217,220,219,153,153,153,153,153,Rejected,20000000.00,70000000.00,70000000.00,36,9.75,37.44,0.1986,576,100000000.00
154,62,78,14,94,2,231,233,232,154,154,154,154,154,Disbursed,260000000.00,190000000.00,60000000.00,12,11.42,23.48,0.1394,697,450000000.00
155,65,85,15,5,15,245,252,248,155,155,155,155,155,Submitted,290000000.00,80000000.00,20000000.00,36,7.13,51.04,0.1786,795,650000000.00
156,68,92,16,16,28,63,65,65,156,156,156,156,156,Under Review,230000000.00,270000000.00,200000000.00,120,17.12,45.16,0.2464,750,290000000.00
157,71,99,17,27,41,82,86,85,157,157,157,157,157,Approved,380000000.00,370000000.00,310000000.00,24,5.82,61.60,0.0779,587,300000000.00
158,74,6,18,38,54,100,103,102,158,158,158,158,158,Rejected,300000000.00,60000000.00,400000000.00,36,10.89,27.10,0.2339,718,550000000.00
159,77,13,19,49,67,122,129,126,159,159,159,159,159,Disbursed,390000000.00,240000000.00,40000000.00,60,7.50,41.85,0.2270,728,380000000.00
160,80,20,20,60,80,143,147,145,160,160,160,160,160,Submitted,500000000.00,250000000.00,390000000.00,36,10.19,40.94,0.2074,310,640000000.00
161,83,27,1,71,93,163,171,166,161,161,161,161,161,Under Review,110000000.00,150000000.00,240000000.00,36,11.75,62.03,0.0582,407,650000000.00
162,86,34,2,82,6,178,179,179,162,162,162,162,162,Approved,80000000.00,170000000.00,370000000.00,60,11.69,16.13,0.1266,626,280000000.00
163,89,41,3,93,19,190,193,192,163,163,163,163,163,Rejected,230000000.00,300000000.00,260000000.00,120,12.61,47.87,0.1445,537,320000000.00
164,92,48,4,4,32,206,209,208,164,164,164,164,164,Disbursed,470000000.00,350000000.00,220000000.00,24,17.09,24.85,0.0487,364,690000000.00
165,95,55,5,15,45,223,227,226,165,165,165,165,165,Submitted,410000000.00,100000000.00,170000000.00,60,9.26,55.69,0.2500,656,170000000.00
166,98,62,6,26,58,234,237,235,166,166,166,166,166,Under Review,90000000.00,370000000.00,200000000.00,24,7.50,36.15,0.1755,823,290000000.00
167,1,69,7,37,71,254,258,256,167,167,167,167,167,Approved,130000000.00,280000000.00,280000000.00,36,13.72,24.76,0.1405,354,700000000.00
168,4,76,8,48,84,69,71,71,168,168,168,168,168,Rejected,330000000.00,380000000.00,330000000.00,24,14.41,28.74,0.1928,331,650000000.00
169,7,83,9,59,97,71,74,73,169,169,169,169,169,Disbursed,90000000.00,210000000.00,40000000.00,120,16.00,42.32,0.3465,675,380000000.00
170,10,90,10,70,10,93,95,94,170,170,170,170,170,Submitted,180000000.00,120000000.00,150000000.00,36,12.89,51.88,0.2443,420,610000000.00
171,13,97,11,81,23,108,113,110,171,171,171,171,171,Under Review,50000000.00,80000000.00,280000000.00,120,7.13,29.63,0.2047,587,720000000.00
172,16,4,12,92,36,135,139,137,172,172,172,172,172,Approved,190000000.00,280000000.00,60000000.00,24,10.00,57.18,0.1435,555,410000000.00
173,19,11,13,3,49,151,158,154,173,173,173,173,173,Rejected,270000000.00,240000000.00,360000000.00,120,15.70,58.45,0.2980,765,650000000.00
174,22,18,14,14,62,174,175,175,174,174,174,174,174,Disbursed,150000000.00,50000000.00,310000000.00,60,6.05,43.90,0.2025,574,500000000.00
175,25,25,15,25,75,182,185,184,175,175,175,175,175,Submitted,90000000.00,70000000.00,180000000.00,24,13.36,60.47,0.3099,300,420000000.00
176,28,32,16,36,88,198,201,200,176,176,176,176,176,Under Review,250000000.00,100000000.00,350000000.00,24,12.62,19.56,0.0424,612,160000000.00
177,31,39,17,47,1,215,218,217,177,177,177,177,177,Approved,20000000.00,80000000.00,210000000.00,12,9.26,38.89,0.0878,423,200000000.00
178,34,46,18,58,14,230,232,231,178,178,178,178,178,Rejected,260000000.00,280000000.00,300000000.00,24,12.89,23.21,0.1294,370,260000000.00
179,37,53,19,69,27,242,249,245,179,179,179,179,179,Disbursed,70000000.00,400000000.00,400000000.00,12,12.70,21.99,0.1042,693,770000000.00
180,40,60,20,80,40,61,63,63,180,180,180,180,180,Submitted,460000000.00,330000000.00,170000000.00,12,10.13,29.78,0.0286,510,370000000.00
181,43,67,1,91,53,79,83,82,181,181,181,181,181,Under Review,420000000.00,320000000.00,60000000.00,120,16.95,58.04,0.2032,312,290000000.00
182,46,74,2,2,66,98,101,100,182,182,182,182,182,Approved,390000000.00,270000000.00,360000000.00,12,6.49,29.32,0.2523,520,610000000.00
183,49,81,3,13,79,118,125,122,183,183,183,183,183,Rejected,410000000.00,210000000.00,170000000.00,24,13.88,31.34,0.2094,617,150000000.00
184,52,88,4,24,92,141,145,143,184,184,184,184,184,Disbursed,170000000.00,20000000.00,240000000.00,12,7.47,52.08,0.2618,764,240000000.00
185,55,95,5,35,5,160,167,163,185,185,185,185,185,Submitted,350000000.00,350000000.00,380000000.00,36,6.27,53.57,0.0200,429,410000000.00
